,0,1,2
0,"s7 s14 r11 s12 h9 s9 r14 h11, h7 k7 s11 k9 k13 h14 k10 r10, h10 k14 s13 h12 s10 r8 h8 h13, k12 s8 r7 k8 r9 k11 r12 r13, ",r,0
1,"s8 s10 h9 k11 k13 r9 k12 s14, r11 r7 r8 s7 k7 h10 h8 k10, s12 h14 r14 s13 h7 k8 h13 h12, h11 r12 r10 k9 r13 s9 s11 k14, ",k,0
2,"k7 h7 s11 h9 h11 h13 r8 r10, s12 s7 h8 k11 h12 s13 k13 s10, k14 s9 s14 k8 r9 h14 r14 r13, r12 r11 h10 k9 r7 k12 k10 s8, ",h,0
3,"k12 k13 h12 k7 r11 r10 k11 h13, s12 k14 r14 k9 k8 s14 r12 r9, s11 h8 s7 r13 s13 k10 s8 h7, r7 h14 h11 s9 h9 r8 s10 h10, ",k,0
4,"r14 k9 r11 s13 h7 k14 s10 s11, k13 r12 h11 h10 h8 k8 s8 r10, r8 s9 s12 r13 r9 h12 h14 s7, s14 k11 k12 k10 r7 k7 h9 h13, ",r,0
5,"r9 s11 s14 k7 r11 s10 k12 h12, h9 k13 k11 k14 r12 s9 h7 r10, s8 s13 s12 s7 r7 h11 k9 r13, h14 r14 r8 h13 h8 k10 h10 k8, ",r,1
6,"s9 r11 k10 r7 s7 r9 s13 h11, h7 k12 s8 s11 h8 r12 h9 h13, r10 r13 r14 s14 k7 h12 k11 k9, r8 k13 k14 s10 s12 h10 h14 k8, ",r,1
7,"r11 s9 r13 h10 h13 k8 k14 r12, h8 r8 k11 k12 r14 k10 s13 k7, s7 h14 h12 s14 s11 r9 s10 r10, s8 r7 s12 k13 h9 h11 h7 k9, ",r,1
8,"k9 k14 k13 s13 k8 r12 h8 r8, r14 h14 r13 h13 h9 h11 h10 s7, s14 r10 r7 k10 s9 r11 h12 s12, s10 k12 k7 s11 k11 s8 r9 h7, ",k,0
9,"s13 r11 k9 h14 h11 r13 h10 r9, r7 s7 s12 h12 h7 h9 r12 h8, k11 s11 k7 s9 k13 k8 h13 s14, k10 k12 r14 s10 k14 r10 r8 s8, ",r,0
10,"s10 h7 k11 k12 h9 r14 s9 s11, r7 s7 k13 k7 h13 k8 h10 h8, r12 h11 s12 k10 k14 r13 r10 h14, r8 s13 k9 s8 r9 s14 r11 h12, ",s,0
11,"h8 r13 k11 k14 r8 s12 h10 h11, h14 h7 r12 r14 s13 h13 r10 k7, k12 k8 s10 r7 k9 s11 k10 h12, s9 k13 s7 h9 s8 r9 r11 s14, ",k,1
12,"k10 h11 k11 h10 h12 s13 s7 r12, k9 k8 s10 k14 s12 k12 s9 r11, h7 r10 s11 h9 r13 k13 r8 r14, h13 s8 r7 h14 s14 h8 k7 r9, ",k,0
13,"r9 k12 s13 h8 k10 r10 r13 k11, k14 r8 s9 k8 s12 r11 h7 h14, h10 h12 s11 k13 r7 h9 r12 s8, h11 r14 s14 h13 k7 s10 s7 k9, ",r,1
14,"r10 k7 s11 r8 h11 r9 s9 r14, s12 h7 h12 r12 k9 k11 r7 h9, s7 h10 k10 h14 h8 k8 s14 r11, s13 s10 h13 k14 k13 r13 s8 k12, ",s,0
15,"k14 r11 r10 r9 s14 s10 h11 h7, k12 s11 h12 s8 k10 s7 r14 k9, s12 k11 h14 r7 r13 k7 s9 r8, h10 h13 k13 h8 h9 k8 r12 s13, ",r,1
16,"h8 r10 h11 r7 k7 k9 s10 k11, h12 s12 r9 s14 h13 s7 k14 h14, s9 r11 r13 k8 h10 r12 s13 s8, k10 k12 r14 r8 k13 h9 h7 s11, ",k,1
17,"k9 s8 h13 k13 k12 k8 k14 h14, r10 s11 r9 s10 h8 h9 s14 r7, r13 k7 r12 h7 h11 h10 s7 s12, s9 k10 s13 h12 k11 r8 r14 r11, ",k,0
18,"s12 h9 r9 k9 s11 s10 r13 k11, r10 k10 r7 k8 r11 s8 s9 h8, k12 k14 h10 r12 k13 h7 r14 h11, h13 h14 k7 s7 r8 s13 h12 s14, ",s,1
19,"r12 k11 k10 h11 k7 h10 r10 s10, h14 k9 k8 s14 r8 r9 r11 h9, r7 k13 s12 h13 s11 h8 r14 s13, k12 h7 s8 s9 h12 k14 r13 s7, ",k,0
20,"s11 k13 s9 k11 r12 k12 r14 h8, h9 s14 s10 k9 r10 k14 r9 k8, r7 r8 s8 r13 s13 h10 r11 s12, h14 h11 h7 k10 s7 k7 h13 h12, ",k,1
21,"k14 k13 k9 h14 r7 s12 h9 k12, s11 k11 r10 s7 r9 k10 r8 h7, r14 s13 r12 k7 h10 s10 h8 r13, h11 r11 h13 k8 s14 s9 h12 s8, ",k,1
22,"s9 k7 h11 s14 h12 r7 r13 k14, k13 s11 r9 s8 r10 h9 h13 s10, r12 k8 r14 k10 r11 s12 h14 r8, k9 h10 h8 s13 h7 s7 k12 k11, ",s,1
23,"k8 h10 r8 s9 r14 r7 h9 r9, r10 s14 r12 s8 h7 h11 s12 s13, s11 k14 k10 h14 k13 h8 s7 k9, h12 r11 r13 k11 h13 s10 k12 k7, ",r,0
24,"k11 r7 h13 h9 r10 h10 r11 k7, s14 k14 r12 s11 s10 k12 h7 r14, r8 s12 k9 k8 k10 k13 r9 s13, h14 h11 h12 s8 s9 s7 r13 h8, ",r,0
25,"r9 k7 k13 k10 s11 s13 k11 s10, k8 k12 h11 h14 r10 r12 h13 k14, s14 h7 h8 r11 r14 h10 s7 s9, h9 r8 r7 h12 s8 r13 s12 k9, ",k,1
26,"r12 k10 h10 r13 k9 k8 h9 k12, r8 h11 r10 h7 k11 h14 k7 s12, h8 s13 s7 r14 r9 k14 s9 s8, h12 r7 k13 s10 s14 h13 r11 s11, ",k,0
27,"k9 h12 r11 h10 h9 r14 k11 h7, k7 h14 s13 s8 s10 h13 r12 r9, k12 s7 r8 h8 r10 r13 s14 k10, s11 k8 s12 s9 h11 r7 k14 k13, ",k,0
28,"h14 r11 k11 k10 s8 k12 s14 h7, s9 h11 r13 k14 k7 k13 k8 h8, r12 r7 r8 h13 s12 s10 s11 h10, k9 r10 s13 h9 r14 r9 s7 h12, ",k,0
29,"h14 h12 s7 r11 k8 r8 s11 r10, k14 h13 k9 s14 r14 s12 k12 s13, r9 r12 s8 s9 k13 h9 r13 k10, h8 s10 k7 h10 k11 r7 h7 h11, ",r,0
30,"h13 s10 k9 k14 h9 h14 h12 k12, r14 r13 h10 r11 s7 k13 s9 s12, s13 s14 s11 k11 r10 r7 r8 h8, s8 h7 r9 r12 k7 k8 k10 h11, ",h,0
31,"h14 h9 r7 h13 s9 k13 h7 r14, s14 h12 s10 k14 s11 s7 r10 k10, s12 s8 h10 k12 r11 s13 h8 k9, k11 k8 r8 r13 k7 h11 r12 r9, ",h,1
32,"k9 s8 s13 k11 h10 r10 k14 k12, k8 r7 r9 s11 s12 r12 k7 r8, h13 h14 r14 h9 h12 h8 r13 r11, s7 h7 k10 s14 k13 s9 h11 s10, ",k,1
33,"k14 k9 r11 s9 k12 s11 h10 h14, r12 h11 s10 s7 r9 k7 k11 r8, h7 s13 s12 k8 s14 r7 s8 h12, r13 h13 r10 r14 h9 k13 h8 k10, ",k,0
34,"k8 h14 k7 s9 s14 r8 k10 s8, k12 r13 r14 h8 k11 h12 r7 s11, h13 k13 h10 h9 s7 k14 k9 h7, r11 r12 h11 s10 r9 r10 s13 s12, ",s,1
35,"h8 r14 h10 h11 r8 s9 r11 s7, k8 h13 s13 k14 r7 r12 r13 h12, k9 h14 k12 s10 s8 r9 s11 k7, k11 s14 h9 r10 k10 s12 k13 h7, ",h,0
36,"s9 s8 k14 h12 s14 h10 k13 s12, r11 h14 r14 h9 s13 h13 k8 h7, r13 k7 s11 r12 k10 k9 h8 s10, r9 s7 k12 r7 r8 k11 h11 r10, ",s,1
37,"s10 h13 h8 r9 r12 k9 k11 r11, h9 k8 s13 r8 h10 s7 k12 h14, s12 s14 r10 k7 r13 s9 h7 k10, r7 s8 k13 r14 h12 h11 k14 s11, ",r,1
38,"k12 k11 h12 k13 h10 h14 s8 r9, s7 r7 h8 k7 k14 s14 h13 h11, h9 r13 s13 k10 s9 r8 s12 r12, r11 r14 k9 s11 s10 k8 r10 h7, ",k,0
39,"k8 k7 s8 r9 h10 s11 h11 h12, r14 k14 s14 k10 s9 k9 r12 k11, r8 h8 s12 s7 s10 r11 h13 k12, r7 s13 h14 k13 h9 r13 r10 h7, ",h,1
40,"s7 k14 s12 h11 r9 r10 s8 h14, h12 k9 h8 s14 k13 k12 k10 h7, k8 h10 r14 s9 r11 h9 h13 r7, s11 r8 s10 k7 r13 k11 r12 s13, ",h,0
41,"k7 r10 h13 k9 r7 k10 s8 k13, h8 k8 s12 h7 h10 r12 s9 r11, h11 s14 s11 r14 r9 k12 h12 s7, r13 h9 r8 k11 s13 s10 k14 h14, ",k,1
42,"h7 h8 k14 k8 s13 s8 s10 k11, r14 r8 h12 k9 r11 r9 s7 h13, r12 h11 k7 s9 k10 k13 k12 s11, r10 h9 h14 h10 s14 s12 r7 r13, ",k,1
43,"k12 h12 s10 r14 s13 k7 r9 s9, r10 r13 h14 k13 s12 r7 k10 s7, h10 s11 k11 h13 k8 s14 r12 k9, h7 s8 r11 r8 h9 k14 h11 h8, ",s,0
44,"h12 r8 r9 r10 s14 s11 k11 r14, k12 h10 h14 s12 s13 h13 r12 k14, s8 k10 k7 h7 h9 k13 k9 h11, r7 k8 r13 s9 s10 s7 h8 r11, ",r,1
45,"k8 k13 h10 h11 k9 h14 r11 h7, k14 r10 h13 h8 k11 r7 h9 s8, r14 s9 r9 s7 s11 k12 s12 s13, r12 k10 s10 s14 k7 h12 r13 r8, ",h,0
46,"s8 k11 s14 h12 r9 h11 k10 s12, s11 s9 k8 k14 r11 r13 s10 h10, h13 h14 h9 h8 h7 r14 r10 s13, k7 s7 r12 r7 k12 k13 k9 r8, ",k,0
47,"h10 r13 k14 r10 r9 s14 k9 h11, h8 k13 s8 k10 s11 k8 k12 r12, h14 s12 r7 s9 r11 s7 k7 r8, h7 h13 h9 k11 s10 r14 s13 h12, ",r,1
48,"r8 r10 s14 r14 k14 s13 r9 s11, s7 k9 h14 h9 s9 h12 s12 h10, r12 k7 s10 h8 r11 k10 k13 k12, r7 h11 k8 h7 r13 s8 k11 h13, ",r,1
49,"h9 k14 s12 k13 k9 s9 r11 h14, h12 k8 h13 h7 k12 h10 s14 r12, r10 h8 k11 r13 s11 k10 s8 s13, r9 r8 s10 r14 k7 h11 r7 s7, ",h,0
50,"r11 k7 h14 s7 k11 s8 r10 k10, r12 k14 h7 s11 r9 h9 k12 r14, s10 k8 r8 h8 s14 r13 s12 h11, h13 r7 k13 h10 s9 k9 h12 s13, ",r,1
51,"s11 k8 r14 r9 s7 s14 s13 r11, r13 r10 h7 h11 s12 k13 s9 h8, r8 k11 r12 h13 k12 k7 k9 h14, h12 r7 h9 k14 h10 s8 k10 s10, ",s,0
52,"h9 k13 s7 h10 h11 h13 k11 s9, h8 k9 k14 k8 h14 s12 r7 r13, r14 k7 r12 r11 k12 h12 r10 s10, r9 r8 s11 s14 s13 h7 k10 s8, ",h,1
